,price,quantity,aux_quantity,midprice,macd,sma,diff,change,type_A,type_M,type_T,side_A,side_B
8594,22620000000,5000,0,22635000000.0,11413277.504249573,22666000000.0,-0.013208191875838627,-0.008089338117272927,1,0,0,1,0
8595,22600000000,100,2700,22595000000.0,9139521.908821106,22666333333.333332,0.00937863745086617,-0.00796586389976944,0,0,1,1,0
8596,22590000000,1000,0,22595000000.0,11779647.342880249,22662666666.666668,-0.0019297651549714811,-0.008132237517359898,1,0,0,0,1
8597,22950000000,678,2260,22590000000.0,20198006.00723648,22674666666.666668,0.41091703675181473,-0.00806468518877574,0,1,0,1,0
8598,22470000000,2260,0,22590000000.0,12462806.481788635,22674666666.666668,-0.13200643072000845,-0.008649289232720675,1,0,0,0,1
8599,22940000000,452,2034,22765000000.0,20387119.094444275,22686333333.333332,0.20014366502478656,-0.0078185350472912,0,1,0,1,0
8600,22590000000,900,0,22765000000.0,5613937.152515411,22678000000.0,-0.19269479272889187,-0.00786199311503094,1,0,0,0,1
8601,22460000000,1130,0,22590000000.0,-1112788.627216339,22673666666.666668,-0.14331733629233717,-0.008021522907929337,1,0,0,0,1
8602,22590000000,1000,0,22590000000.0,-13905268.30582428,22621000000.0,0.0037244361479473443,-0.008095433448647807,1,0,0,0,1
8603,22590000000,1600,0,22615000000.0,-14351506.175685883,22621000000.0,-0.024521568371059024,-0.007897700451431868,1,0,0,0,1
8604,22570000000,100,100,22615000000.0,-8705897.673225403,22603000000.0,-0.047118371986263556,-0.008052434904134181,0,1,0,0,1
8605,22720000000,452,0,22585000000.0,-4832369.994960785,22607333333.333332,0.15645546638330218,-0.008058515081585676,1,0,0,1,0
8606,22740000000,200,0,22585000000.0,-23220898.9691391,22570666666.666668,0.1790822856774278,-0.008015324025953225,1,0,0,1,0
8607,22610000000,800,0,22600000000.0,8774762.555644989,22610333333.333332,0.015030336894805093,-0.00786638086105997,1,0,0,1,0
8608,22610000000,200,0,22600000000.0,-20934326.11196518,22571333333.333332,0.015030336894805093,-0.008113849737097079,1,0,0,1,0
8609,22560000000,22,0,22605000000.0,6226728.595920563,22609000000.0,-0.04714086382795151,-0.008046248483155235,1,0,0,0,1
8610,22610000000,200,0,22605000000.0,-6166813.5691719055,22639000000.0,0.009376136145271646,-0.008107717764947486,1,0,0,1,0
8611,22610000000,200,0,22600000000.0,-5700090.810760498,22639333333.333332,0.015030336894805093,-0.008113849737097079,1,0,0,1,0
8612,22610000000,200,0,22600000000.0,-1125539.245212555,22598333333.333332,0.015030336894805093,-0.008107716408016274,1,0,0,1,0
8613,22610000000,200,0,22595000000.0,-1005765.105342865,22597000000.0,0.02068704005670382,-0.008126110968734395,1,0,0,1,0
8614,22640000000,22,0,22595000000.0,-16647508.603126526,22602000000.0,0.05461224787422245,-0.008113849737097079,1,0,0,1,0
8615,22430000000,452,0,22585000000.0,-20756739.268341064,22596000000.0,-0.17163341338153593,-0.007866215034250031,1,0,0,0,1
8616,22590000000,600,0,22585000000.0,-10577938.778331757,22599333333.333332,0.009381140971477324,-0.008113849737097079,1,0,0,0,1
8617,22460000000,452,0,22595000000.0,-14140878.739875793,22557000000.0,-0.14893899903087512,-0.007860080849477067,1,0,0,0,1
8618,22590000000,2000,0,22595000000.0,-4963057.411636353,22559000000.0,-0.0019297651549714811,-0.00807700083731934,1,0,0,0,1
8619,22590000000,1700,0,22605000000.0,-4758174.161262512,22558666666.666668,-0.013230663844019887,-0.008089305558114431,1,0,0,0,1
8620,22500000000,100,100,22605000000.0,3177796.225746155,22595000000.0,-0.11496126379581476,-0.008058564137131343,0,1,0,0,1
8621,22460000000,452,0,22595000000.0,-1326144.781879425,22590666666.666668,-0.14893899903087512,-0.007928620192992673,1,0,0,0,1
8622,22770000000,226,0,22595000000.0,15486948.902339935,22611000000.0,0.2016214817501233,-0.008058539620235571,1,0,0,1,0
8623,22610000000,1400,0,22560000000.0,14491754.553539276,22611666666.666668,0.060354169498772564,-0.008113849737097079,1,0,0,1,0
8624,22610000000,400,0,22560000000.0,9010186.582279205,22609333333.333332,0.060354169498772564,-0.008175142337973144,1,0,0,1,0
8625,22460000000,452,0,22595000000.0,3773585.9653511047,22604666666.666668,-0.14893899903087512,-0.008113849737097079,1,0,0,0,1
8626,22760000000,226,0,22595000000.0,18101375.852474213,22623333333.333332,0.1903130791442856,-0.007922403226936466,1,0,0,1,0
8627,22720000000,452,0,22585000000.0,20132173.571754456,22627333333.333332,0.15645546638330218,-0.008107712333616974,1,0,0,1,0
8628,22410000000,226,0,22585000000.0,-222403.67683410645,22610333333.333332,-0.19426023267566153,-0.007978196052880072,1,0,0,0,1
8629,22730000000,226,0,22590000000.0,3785612.8006515503,22614333333.333332,0.16207711416056056,-0.008095433448647807,1,0,0,1,0
8630,22450000000,226,0,22590000000.0,-1480080.6198806763,22609333333.333332,-0.1546282418646687,-0.007928578920812616,1,0,0,0,1
8631,22720000000,678,0,22600000000.0,2325481.981891632,22613333333.333332,0.13939524511021195,-0.007841390706464621,1,0,0,1,0
8632,22600000000,100,0,22600000000.0,-313465.94805526733,22610000000.0,0.0037244361479473443,-0.008113849737097079,1,0,0,0,1
8633,22600000000,100,400,22605000000.0,-403598.8308067322,22610000000.0,-0.0019272638493741199,-0.008107717764947486,0,0,1,0,1
8634,22600000000,700,700,22605000000.0,-1806224.504524231,22600333333.333332,-0.0019272638493741199,-0.008113849737097079,0,1,0,0,1
8635,22600000000,1400,0,22625000000.0,-1625684.6052360535,22593333333.333332,-0.024509083949172162,-0.008089327273822446,1,0,0,0,1
8636,22740000000,500,0,22625000000.0,17921583.22342682,22627333333.333332,0.13359862859469707,-0.008113849737097079,1,0,0,1,0
8637,22600000000,1400,0,22610000000.0,16135462.81332016,22623333333.333332,-0.007576464200522469,-0.008095449749854667,1,0,0,0,1
