,price,quantity,aux_quantity,midprice,type_A,type_M,type_T,side_A,side_B
13836,22410000000,200,0,22445000000.0,1,0,0,0,1
13837,22450000000,500,0,22485000000.0,1,0,0,0,1
13838,22600000000,200,0,22485000000.0,1,0,0,1,0
13839,22470000000,500,0,22465000000.0,1,0,0,1,0
13840,22470000000,500,0,22465000000.0,1,0,0,1,0
13841,22470000000,400,400,22445000000.0,0,1,0,1,0
13842,22470000000,400,0,22445000000.0,1,0,0,1,0
13843,22470000000,700,0,22465000000.0,1,0,0,1,0
13844,22460000000,500,0,22465000000.0,1,0,0,0,1
13845,22460000000,3000,0,22485000000.0,1,0,0,0,1
13846,22460000000,1000,0,22485000000.0,1,0,0,0,1
13847,22560000000,700,700,22510000000.0,0,1,0,1,0
13848,22460000000,800,0,22510000000.0,1,0,0,0,1
13849,22520000000,500,0,22490000000.0,1,0,0,1,0
13850,22460000000,1000,0,22490000000.0,1,0,0,0,1
13851,22470000000,1000,0,22480000000.0,1,0,0,0,1
13852,22460000000,300,0,22480000000.0,1,0,0,0,1
13853,21340000000,100,100,22500000000.0,0,1,0,0,1
13854,22560000000,800,0,22500000000.0,1,0,0,1,0
13855,22520000000,100,100,22495000000.0,0,1,0,1,0
13856,22460000000,500,0,22495000000.0,1,0,0,0,1
13857,22400000000,100,0,22475000000.0,1,0,0,0,1
13858,22550000000,800,0,22475000000.0,1,0,0,1,0
13859,22580000000,700,700,22525000000.0,0,1,0,1,0
13860,22460000000,200,0,22525000000.0,1,0,0,0,1
13861,22610000000,200,0,22520000000.0,1,0,0,1,0
13862,22470000000,400,400,22520000000.0,0,1,0,0,1
13863,22490000000,700,700,22480000000.0,0,1,0,1,0
13864,22510000000,400,0,22480000000.0,1,0,0,1,0
13865,22480000000,200,0,22455000000.0,1,0,0,1,0
13866,22480000000,400,400,22455000000.0,0,1,0,1,0
13867,22430000000,400,400,22475000000.0,0,1,0,0,1
13868,22430000000,400,400,22475000000.0,0,1,0,0,1
13869,22430000000,400,400,22455000000.0,0,1,0,0,1
